input,base,optimum,pct_change
rawmeal_feed[kg/s],100.78,100.78,0.0
rmgas_flow[kg/s],178.9,196.79000000000002,10.000000000000007
rmgas_temp[K],436.15,479.765,10.000000000000002
coal_feed[kg/s],8.28,8.28,0.0
cmgas_flow[kg/s],33.6,36.96000000000001,10.00000000000002
cmgas_temp[K],436.15,479.765,10.000000000000002
clrcair_flow[kg/s],48.0,43.2,-9.999999999999995
clrcair2_flow[kg/s],103.0,92.7,-9.999999999999998
rmfan_T[K],438.15,425.41094055232435,-2.9074653538002124
rmdry_T[K],363.15,338.6972397985465,-6.73351513188861
gasht_T[K],438.15,439.27592810010844,0.2569732055479784
cmdry_T[K],343.15,377.46500000000003,10.000000000000016
phk1_T[K],593.15,652.465,10.000000000000009
phk2_T[K],753.15,677.835,-9.999999999999993
phk3_T[K],903.15,858.2160658926372,-4.975245984317422
phk4_T[K],973.15,875.835,-9.999999999999995
phk5_T[K],1023.15,1125.4650000000001,10.000000000000016
phc1_T[K],593.15,652.465,10.000000000000009
phc2_T[K],753.15,795.4940519504049,5.62226010096328
phc3_T[K],903.15,812.835,-9.999999999999995
phc4_T[K],973.15,1052.5594767328453,8.16004487826597
phc5_T[K],1023.15,1125.4650000000001,10.000000000000016
clcalc_T[K],1173.15,1173.15,0.0
coal_split[-],0.55,0.55,0.0
secair_split[-],0.55,0.6024586772665406,9.537941321189185
meal_split[-],0.65,0.65,0.0
