,RawMill,CoalMill,Preheater,Calciner,Kiln,ClinkerCooler
rawmeal_feed[kg/s],0.006881753435085146,0.0028087459737804947,0.05871395220632323,0.10665679009033902,0.1501009799591616,0.1997627758062498
rmgas_flow[kg/s],0.005694146227828782,0.002301388629633125,0.004901823815105036,0.005070041730862257,0.006623038828357461,0.004318053216605081
rmgas_temp[K],0.2684098012734017,0.002775741223852346,0.007970150791179182,0.008994419271089025,0.011555932293172573,0.008114376116504663
coal_feed[kg/s],0.0019782130933187745,0.0020198041270605154,0.057063941122293856,0.1873055754733078,0.12648441485210712,0.11036732209284521
cmgas_flow[kg/s],0.002880401366117472,0.007038198408110483,0.005089794818678359,0.004812824892430706,0.006219961533772006,0.005913505654703319
cmgas_temp[K],0.0031003391372611527,0.22993520994333427,0.010858742474383301,0.008762021693698533,0.006283968676907688,0.008838484098606318
clrcair_flow[kg/s],0.003227517936163457,0.002745513957438255,0.01534596900963073,0.015442976747057998,0.06147219028191379,0.0555050486831663
clrcair2_flow[kg/s],0.0035627347403197674,0.0021132390395998996,0.011537456169264444,0.03440153823579659,0.15374415707032504,0.13524704630010118
rmfan_T[K],0.16473227977010182,0.002926506707403166,0.007825253459422619,0.007167095348371605,0.008086411236980838,0.006515885621370267
rmdry_T[K],0.48709296425028653,0.002837287235083453,0.06239084299093193,0.009456260045328707,0.010878513040772994,0.009716673218096791
gasht_T[K],0.0019338815112082887,0.42837058913391307,0.009719666970532153,0.0110680399917232,0.009494467183985894,0.01030368586498661
cmdry_T[K],0.0027026586242326505,0.28016272534805,0.0093824795133745,0.01094862294316159,0.014428831675420995,0.010102524456565039
phk1_T[K],0.0018731739310133926,0.0024946693515035968,0.04294906077374456,0.0055144490235758585,0.004814918081675856,0.006238821567858127
phk2_T[K],0.0032824134810312718,0.0035912541247808,0.01564179975397201,0.005596600529156791,0.006082572960169162,0.0059706165574558365
phk3_T[K],0.0028330857049758125,0.00280447071078517,0.02355868711531173,0.0059474114664197315,0.00656284588585097,0.004466039052577894
phk4_T[K],0.0034228751232490465,0.001939945282686177,0.007740655600620871,0.005152090728805461,0.006531419334019965,0.004322613076522506
phk5_T[K],0.004712169682134855,0.0025469383215441102,0.1623272843811071,0.10085286084011576,0.01067925594532144,0.00887973231914435
phc1_T[K],0.0023558132499774623,0.0030406127499116955,0.07066349846841556,0.008430021547172395,0.006935858938331087,0.006783420095279953
phc2_T[K],0.002615637992301217,0.0020131889697054526,0.01929720865932149,0.0062708318979839825,0.00588403733495193,0.004953980052348803
phc3_T[K],0.0032853566779460987,0.0018613049687837436,0.03290563237555885,0.00620375313369887,0.005214641105622193,0.004677019110769881
phc4_T[K],0.0038139325145124816,0.0025429521380939415,0.010530249083470613,0.004464405781984932,0.0056119709353756155,0.003922712319423983
phc5_T[K],0.0036917586663203876,0.0032919715501586893,0.07858465748380954,0.05992280265262731,0.007918147008647127,0.006981544273650216
clcalc_T[K],0.003991607804963039,0.0018554750926362432,0.18222174368972274,0.16170680025866102,0.06895832137250103,0.15226942245379713
coal_split[-],0.006046625044407526,0.0013891737666276898,0.05734943061958816,0.17938169526863668,0.145360125032209,0.11324881091795048
secair_split[-],0.0025659120907559024,0.0024887801759453415,0.03102889581526727,0.03583148289533331,0.14636265494892198,0.10778443241701374
meal_split[-],0.0033129466710860277,0.0021043130695782334,0.00440112283897014,0.00463858751266084,0.007710364483524599,0.004795454656406544
