output,n_kept,kept_inputs
RawMill_I_B_MW,3,rmgas_temp[K];rmfan_T[K];rmdry_T[K]
RawMill_eps,3,rmgas_temp[K];rmfan_T[K];rmdry_T[K]
RawMill_IP_MW,3,rmgas_temp[K];rmfan_T[K];rmdry_T[K]
CoalMill_I_B_MW,3,cmgas_temp[K];gasht_T[K];cmdry_T[K]
CoalMill_eps,2,gasht_T[K];cmdry_T[K]
CoalMill_IP_MW,3,cmgas_temp[K];gasht_T[K];cmdry_T[K]
Preheater_I_B_MW,8,rawmeal_feed[kg/s];coal_feed[kg/s];rmdry_T[K];phk5_T[K];phc1_T[K];phc3_T[K];clcalc_T[K];coal_split[-]
Preheater_eps,6,rawmeal_feed[kg/s];coal_feed[kg/s];phk5_T[K];phc5_T[K];clcalc_T[K];coal_split[-]
Preheater_IP_MW,7,coal_feed[kg/s];rmdry_T[K];phk5_T[K];phc1_T[K];phc5_T[K];clcalc_T[K];coal_split[-]
Calciner_I_B_MW,4,coal_feed[kg/s];clrcair2_flow[kg/s];clcalc_T[K];coal_split[-]
Calciner_eps,6,rawmeal_feed[kg/s];coal_feed[kg/s];phk5_T[K];phc5_T[K];clcalc_T[K];coal_split[-]
Calciner_IP_MW,6,rawmeal_feed[kg/s];coal_feed[kg/s];phk5_T[K];phc5_T[K];clcalc_T[K];coal_split[-]
Kiln_I_B_MW,6,coal_feed[kg/s];clrcair_flow[kg/s];clrcair2_flow[kg/s];clcalc_T[K];coal_split[-];secair_split[-]
Kiln_eps,6,rawmeal_feed[kg/s];coal_feed[kg/s];clrcair_flow[kg/s];clrcair2_flow[kg/s];coal_split[-];secair_split[-]
Kiln_IP_MW,7,rawmeal_feed[kg/s];coal_feed[kg/s];clrcair_flow[kg/s];clrcair2_flow[kg/s];clcalc_T[K];coal_split[-];secair_split[-]
ClinkerCooler_I_B_MW,5,rawmeal_feed[kg/s];coal_feed[kg/s];clcalc_T[K];coal_split[-];secair_split[-]
ClinkerCooler_eps,6,rawmeal_feed[kg/s];coal_feed[kg/s];clrcair2_flow[kg/s];clcalc_T[K];coal_split[-];secair_split[-]
ClinkerCooler_IP_MW,7,rawmeal_feed[kg/s];coal_feed[kg/s];clrcair_flow[kg/s];clrcair2_flow[kg/s];clcalc_T[K];coal_split[-];secair_split[-]
