quantity,base_aspen,optimum_aspen,change_pct
total_irreversibility_MW,110.50535140183783,106.19256964277133,-3.9027809100245707
clinker_exergy_MW,64.45252737857899,64.45252737857899,0.0
specific_irreversibility,1.7145231676138217,1.647609084730241,-3.9027809100245707
overall_efficiency_pct,37.73737998999206,37.73737998999206,0.0
I_B_RawMill_MW,7.507245270433769,4.9476898558200375,-34.09446904171602
I_B_CoalMill_MW,1.5093013174410463,1.5265446609218716,1.1424719028312094
I_B_Preheater_MW,11.431207100016952,12.988128525482342,13.619921429496989
I_B_Calciner_MW,36.626871710552514,34.54710008774811,-5.678267145608292
I_B_Kiln_MW,37.70917051870635,36.71106017188752,-2.6468637020899255
I_B_ClinkerCooler_MW,15.721555484687194,15.472046340911447,-1.5870512559572665
